City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Date
umm kaddadah,SD,13.6,26.69,65.89,20,18,10.51,1584329105
cap malheureux,MU,-19.98,57.61,75.99,94,75,2.24,1584329218
rikitea,PF,-23.12,-134.97,79.63,79,3,12.71,1584329206
leningradskiy,RU,69.38,178.42,13.6,73,0,4.23,1584329218
yellowknife,CA,62.46,-114.35,10.4,66,20,18.34,1584328948
new norfolk,AU,-42.78,147.06,66.99,52,20,14.99,1584329384
qaanaaq,GL,77.48,-69.36,-2.33,51,100,6.87,1584329212
tuktoyaktuk,CA,69.45,-133.04,-7.6,76,20,5.82,1584329086
gweru,ZW,-19.45,29.82,61.66,83,88,3.65,1584329384
karratha,AU,-20.74,116.85,86.41,70,0,8.21,1584328820
tasiilaq,GL,65.61,-37.64,8.6,50,100,14.99,1584329217
jamestown,US,42.1,-79.24,28.99,50,1,10.29,1584329192
nyuksenitsa,RU,60.41,44.24,15.08,88,0,8.39,1584329385
atuona,PF,-9.8,-139.03,82.2,65,0,8.75,1584329214
russkaya polyana,UA,49.42,31.92,30.11,56,0,9.44,1584329385
porto novo,BJ,6.5,2.6,81.63,84,7,6.8,1584329167
cape town,ZA,-33.93,18.42,64.4,68,20,14.99,1584328942
mataura,NZ,-46.19,168.86,54,71,97,15.01,1584328951
punta arenas,CL,-53.15,-70.92,55.4,87,75,16.11,1584329070
baoning,CN,25.34,110.03,60.8,82,90,2.24,1584329386
teacapan,MX,22.55,-105.75,68.27,81,80,1.01,1584329386
kenai,US,60.55,-151.26,30,42,1,3.36,1584329371
gewane,ET,10.17,40.65,75.13,75,100,7.36,1584329387
antofagasta,CL,-23.65,-70.4,64.4,88,75,3.36,1584329387
airai,TL,-8.93,125.41,80.28,58,97,5.86,1584329286
bredasdorp,ZA,-34.53,20.04,62.6,88,76,11.41,1584328807
mpongwe,ZM,-13.51,28.16,64.62,96,100,1.68,1584329387
torbay,CA,47.67,-52.73,26.01,73,20,9.17,1584329307
nikolskoye,RU,59.7,30.79,33.8,69,90,11.18,1584329221
provideniya,RU,64.38,-173.3,23,92,90,4.47,1584329000
puerto ayora,EC,-0.74,-90.35,79,83,20,8.05,1584329319
chuy,UY,-33.7,-53.46,61.84,74,99,4.61,1584328933
iqaluit,CA,63.75,-68.51,-0.4,64,90,13.87,1584329252
ixtapa,MX,20.7,-105.2,73.4,83,5,2.06,1584329321
chokurdakh,RU,70.63,147.92,-9.85,87,0,5.7,1584329274
hilo,US,19.73,-155.09,77,69,75,13.87,1584329219
hithadhoo,MV,-0.6,73.08,83.16,62,100,5.84,1584329278
tiksi,RU,71.69,128.87,9.09,81,100,20.58,1584328867
minot,US,48.23,-101.3,30.2,92,90,7.02,1584329341
mount gambier,AU,-37.83,140.77,73.4,35,0,9.17,1584329281
hobart,AU,-42.88,147.33,66.99,52,20,14.99,1584329171
bethel,US,41.37,-73.41,43,32,1,4.7,1584329231
narsaq,GL,60.92,-46.05,21.2,67,100,0.69,1584329284
butaritari,KI,3.07,172.79,84.04,78,88,13.04,1584328954
ushuaia,AR,-54.8,-68.3,53.6,71,40,4.38,1584329153
albany,US,42.6,-73.97,30,50,1,11.41,1584329112
urumqi,CN,43.8,87.6,44.6,42,0,2.24,1584329098
ostrovnoy,RU,68.05,39.51,24.62,95,100,7.56,1584329270
tilbury,GB,51.46,0.36,45,75,0,4.7,1584329391
esperance,AU,-33.87,121.9,78.8,57,40,8.05,1584329234
busselton,AU,-33.65,115.33,75,65,91,4,1584329219
dikson,RU,73.51,80.55,-14.04,100,100,8.28,1584328965
sao joao da barra,BR,-21.64,-41.05,77.74,87,0,12.17,1584329243
padang,ID,-0.95,100.35,84.29,56,25,1.95,1584329080
alappuzha,IN,9.49,76.33,84.6,66,100,2.19,1584329362
arraial do cabo,BR,-22.97,-42.03,77.9,83,0,26.57,1584329071
thompson,CA,55.74,-97.86,15.8,85,90,14.99,1584328643
ilulissat,GL,69.22,-51.1,-9.4,47,93,8.05,1584328995
carmo,BR,-21.93,-42.61,66.18,97,25,2.06,1584329392
byron bay,AU,-28.65,153.62,77,78,40,17.22,1584329393
mahebourg,MU,-20.41,57.7,75.99,94,75,2.24,1584329113
kapaa,US,22.08,-159.32,78.8,74,20,11.41,1584329227
lebu,CL,-37.62,-73.65,56.28,76,0,8.46,1584329393
